file,expected_sha256,actual_sha256,matches_expected
atp_players.csv,14095c6453757c0a0c34c9d40c86b8bbdc9c48067c16a69892d8f7f3ca02bc1f,14095c6453757c0a0c34c9d40c86b8bbdc9c48067c16a69892d8f7f3ca02bc1f,True
atp_rankings_current.csv,56446cb8fc40e99dcd686acdfdfcad05461b63d54f73601a21ac594b0bacde41,56446cb8fc40e99dcd686acdfdfcad05461b63d54f73601a21ac594b0bacde41,True
RealGDP.csv,3311a5f62d9f657079b1a0d0906c21a67fc922b4a13b52f59480d0460a425064,3311a5f62d9f657079b1a0d0906c21a67fc922b4a13b52f59480d0460a425064,True
